Turbine_exit_pressure_bar,Turbine_exit_temperature_C,Ship_speed_knots,output_power
1.33,635.0,6.0,1005.8123039733081
1.39,606.0,9.0,1219.7966515848211
1.66,661.0,12.0,2386.039620401448
2.08,731.0,15.0,4342.937684322529
2.96,855.0,21.0,10945.308805106837
1.1,464.0,3.0,54.11916944584017
1.33,636.0,6.0,999.9584696621191
1.66,661.0,12.0,2386.039620401448
2.08,730.0,15.0,4342.937684322529
2.5,799.0,18.0,7208.698502927139
2.96,854.0,21.0,10945.308805106837
3.58,951.0,24.0,16502.78620930718
1.33,635.0,6.0,998.5238090169796
1.39,604.0,9.0,1219.7966515848211
1.66,660.0,12.0,2386.039620401448
2.96,853.0,21.0,10945.308805106837
1.14,491.0,3.0,195.0510158858783
1.33,634.0,6.0,989.9158451461437
1.66,659.0,12.0,2386.039620401448
2.08,729.0,15.0,4342.937684322529
2.5,797.0,18.0,7208.698502927139
3.57,949.0,24.0,16502.78620930718
1.39,603.0,9.0,1219.7966515848211
2.96,851.0,21.0,10945.308805106837
3.57,948.0,24.0,16502.78620930718
1.66,657.0,12.0,2386.039620401448
2.5,795.0,18.0,7208.698502927139
3.57,947.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.21,538.0,3.0,438.6710541962549
1.32,629.0,6.0,968.4482953466136
1.39,601.0,9.0,1219.7966515848211
1.66,656.0,12.0,2386.039620401448
2.96,849.0,21.0,10945.308805106837
4.49,1110.0,27.0,27140.00949485198
1.32,625.0,6.0,941.3887106236936
1.39,600.0,9.0,1219.7966515848211
2.08,725.0,15.0,4342.937684322529
2.96,847.0,21.0,10945.308805106837
3.57,945.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.25,570.0,3.0,602.2433116931634
1.39,599.0,9.0,1219.7966515848211
2.08,724.0,15.0,4342.937684322529
2.5,791.0,18.0,7208.698502927139
2.96,846.0,21.0,10945.308805106837
3.57,944.0,24.0,16502.78620930718
1.29,610.0,3.0,804.7189582170255
1.31,620.0,6.0,924.298446588165
1.66,653.0,12.0,2386.039620401448
2.08,723.0,15.0,4342.937684322529
2.96,845.0,21.0,10945.308805106837
3.57,943.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
2.08,722.0,15.0,4342.937684322529
2.5,789.0,18.0,7208.698502927139
2.96,844.0,21.0,10945.308805106837
3.57,942.0,24.0,16502.78620930718
4.49,1110.0,27.0,27140.00949485198
1.39,597.0,9.0,1219.7966515848211
2.96,843.0,21.0,10945.308805106837
3.57,941.0,24.0,16502.78620930718
1.33,672.0,3.0,1062.4447475420202
1.39,596.0,9.0,1219.7966515848211
